Brand,Model and Version,Seller name,City,Price,Mileage,Year,Gearbox,Fuel,Date,Fiscal Power,Doors,Body,First Hand,Ad Link
MERCEDES,Classe c,AUTO GHALI,Casablanca,,26 000,2022,Automatique,Diesel,13-12-2022,9,5,Berline,Oui,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/401328/mercedes-classe-c-300-d.html
AUDI,S3,AUTO HICHAM,Casablanca,,124 000,2017,Automatique,Essence,13-12-2022,11,5,Compact,Oui,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/403540/audi-s3-.html
MERCEDES,Classe e,PLATINIUM AUTO,Casablanca,,82 000,2017,Automatique,Diesel,13-12-2022,9,5,Berline,Oui,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/380613/mercedes-classe-e-220d.html
FORD,Transit,AUTO 212,Casablanca,,94 000,2019,Manuelle,Diesel,13-12-2022,9,3,,,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/404763/ford-transit-.html
AUTRE,Autre,BOURGOGNE AUTO,Casablanca,315 000 Dhs,149 000,2014,Automatique,Diesel,13-12-2022,15,5,,Oui,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/400735/autre-autre-.html
MERCEDES,Classe s,HIVERNAGE AUTO,Casablanca,,17 000,2018,Automatique,Diesel,13-12-2022,12,4,Berline,,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/320673/mercedes-classe-s-400d-pack-amg.html
VOLKSWAGEN,Golf 8,AUTO GHALI,Casablanca,,6 000,2021,Automatique,Diesel,13-12-2022,,5,,Oui,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/392504/volkswagen-golf-8-gtd.html
VOLKSWAGEN,Golf 7,AUTO AYMANE,Casablanca,,65 000,2018,Automatique,Diesel,13-12-2022,8,,Compact,Oui,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/373918/volkswagen-golf-7-.html
BMW,Z4,PLATINIUM AUTO,Casablanca,,39 000,2021,Automatique,Essence,13-12-2022,11,2,Cabriolet,,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/398150/bmw-z4-sdrive-20i.html
RENAULT,Kangoo,Nom masqué,Casablanca,,100 000,2019,Manuelle,Diesel,13-12-2022,,,Utilitaire (minivan),,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/404402/renault-kangoo-.html
LAND-ROVER,Range rover vogue,AUTO GHALI,Casablanca,,,2022,Automatique,Diesel,13-12-2022,12,5,Suv et 4x4,,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/403981/land-rover-range-rover-vogue-.html
SKODA,Octavia,AUTO AYMANE,Casablanca,,112 000,2017,Automatique,Diesel,13-12-2022,,,Berline,,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/408128/skoda-octavia-3amera.html
HYUNDAI,Santa fe,AUTO AYMANE,Casablanca,,94 000,2018,Automatique,Diesel,13-12-2022,9,,Suv et 4x4,Oui,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/396126/hyundai-santa-fe-.html
AUDI,Q5,ARVAL,Casablanca,,44 000,2021,Automatique,Diesel,13-12-2022,8,5,,Oui,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/404156/audi-q5-.html
AUDI,Sq5,CAR & SHOP,Casablanca,,150 000,2014,Automatique,Diesel,13-12-2022,12,5,Suv et 4x4,Oui,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/399937/audi-sq5-.html
LAND-ROVER,Range rover velar,AUTO GHALI,Casablanca,,90 000,2018,Automatique,Diesel,13-12-2022,12,5,Suv et 4x4,Oui,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/407392/land-rover-range-rover-velar-.html
JEEP,Compass,STELLANTIS &YOU CASABLANCA,Casablanca,263 000 Dhs,19 747,2021,Manuelle,Diesel,13-12-2022,6,5,Suv et 4x4,,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/406978/jeep-compass-night-eagle.html
MERCEDES,Classe c,ETOILE CAR,Casablanca,,9 000,2022,Automatique,Diesel,13-12-2022,8,5,Berline,Oui,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/408436/mercedes-classe-c-pack-amg.html
VOLKSWAGEN,Golf 8,HIVERNAGE AUTO,Casablanca,,,2021,Automatique,Diesel,13-12-2022,9,5,Compact,,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/348032/volkswagen-golf-8-gtd.html
BMW,Serie 4 gran coupe,PLATINIUM AUTO,Casablanca,,90 000,2018,Automatique,Diesel,13-12-2022,9,5,Berline,,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/403662/bmw-serie-4-gran-coupe-pack-m.html
AUTRE,Autre,ETOILE CAR,Casablanca,,4 000,2022,Automatique,Diesel,13-12-2022,10,5,Crossover,Oui,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/408442/autre-autre-s-line-40-tdi-quattro.html
JEEP,Renegade,STELLANTIS &YOU CASABLANCA,Casablanca,290 085 Dhs,,2022,Manuelle,Diesel,13-12-2022,6,5,Crossover,,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/404950/jeep-renegade-ed-16l-130cv-avec-toit.html
PORSCHE,Macan,AUTO GHALI,Casablanca,,14 000,2022,Automatique,Essence,13-12-2022,12,5,Suv et 4x4,Oui,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/404716/porsche-macan-.html
LAND-ROVER,Range rover evoque,BOURGOGNE AUTO,Casablanca,325 000 Dhs,109 000,2018,Automatique,Diesel,12/12/2022,8,5,,Oui,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/400716/land-rover-range-rover-evoque-.html
VOLKSWAGEN,Passat,STELLANTIS &YOU CASABLANCA,Casablanca,159 000 Dhs,156 804,2017,Manuelle,Diesel,11/12/2022,8,5,Berline,,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/393429/volkswagen-passat-confortline-20-tdi-150-cv-bvm.html
VOLKSWAGEN,Touareg,AUTO GHALI,Casablanca,,40 000,2021,Automatique,Diesel,13-12-2022,8,5,Suv et 4x4,Oui,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/408450/volkswagen-touareg-.html
PORSCHE,Macan,PLATINIUM AUTO,Casablanca,,56 000,2019,Automatique,Essence,13-12-2022,17,5,Suv et 4x4,Oui,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/394333/porsche-macan-s.html
PORSCHE,Macan,AUTO GHALI,Casablanca,,,2022,Automatique,Essence,13-12-2022,,5,Suv et 4x4,,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/402345/porsche-macan-t.html
TOYOTA,Prius,PROMORENT AUTO,Casablanca,,54 000,2020,Automatique,Hybride,13-12-2022,9,5,,Oui,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/394117/toyota-prius-.html
MERCEDES,Classe c,YOUSSEF,Casablanca,,8 000,2022,Automatique,Diesel,13-12-2022,8,5,Berline,Oui,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/407123/mercedes-classe-c-220d-amg.html
AUDI,Q7,AUTO AYMANE,Casablanca,,130 000,2017,Automatique,Diesel,13-12-2022,12,,Suv et 4x4,Oui,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/408131/audi-q7-.html
VOLKSWAGEN,Caddy,AUTO GHALI,Casablanca,,27 000,2021,Automatique,Diesel,13-12-2022,,5,Utilitaire (minivan),Oui,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/405578/volkswagen-caddy-.html
MERCEDES,Classe e cabriolet,LUXURY AUTO,Casablanca,,,2021,Automatique,Diesel,13-12-2022,,3,Cabriolet,,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/356304/mercedes-classe-e-cabriolet-220d-importee-neuve.html
AUDI,A8,BOURGOGNE AUTO,Casablanca,,74 000,2015,Automatique,Diesel,13-12-2022,12,5,Berline,Oui,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/400718/audi-a8-.html
MERCEDES,Classe a,AUTO GHALI,Casablanca,,31 000,2021,Automatique,Diesel,13-12-2022,8,5,Citadine,Oui,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/407329/mercedes-classe-a-pack-amg.html
BENTLEY,Bentayga,CAR & SHOP,Casablanca,,9 000,2021,Automatique,Essence,13-12-2022,17,5,Suv et 4x4,Oui,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/401215/bentley-bentayga-.html
RENAULT,Clio,KARIM,Rabat,119 000 Dhs,73 000,2018,Manuelle,Diesel,13-12-2022,6,5,Citadine,,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/402016/renault-clio-.html
VOLVO,Xc60,AUTO OMAR,Casablanca,85 000 Dhs,249 000,2009,Automatique,Diesel,13-12-2022,8,5,,,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/407745/volvo-xc60-.html
AUDI,Rs3,HIVERNAGE AUTO,Casablanca,,40 000,2017,Automatique,Essence,13-12-2022,,5,Compact,,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/320672/audi-rs3-.html
AUDI,Q8,AUTO GHALI,Casablanca,,90 000,2019,Automatique,Diesel,13-12-2022,,5,Suv et 4x4,Oui,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/405449/audi-q8-s-line.html
MERCEDES,Classe e,AUTO CHAG,Casablanca,,119 000,2011,Automatique,Diesel,13-12-2022,12,5,,Oui,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/399063/mercedes-classe-e-.html
NISSAN,Qashqai,GT AUTO,Casablanca,,80 000,2016,Manuelle,Diesel,13-12-2022,8,,Suv et 4x4,Oui,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/407528/nissan-qashqai-.html
HYUNDAI,Grand i10,OASIS CARS,Casablanca,,54 000,2017,Manuelle,Essence,13-12-2022,6,5,,,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/408894/hyundai-grand-i10-.html
VOLKSWAGEN,Golf 7,AUTO GHALI,Casablanca,,120 000,2018,Automatique,Diesel,13-12-2022,,5,Compact,Oui,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/404222/volkswagen-golf-7-gtd.html
VOLKSWAGEN,Tiguan,AUTO GHALI,Casablanca,,100 000,2017,Automatique,Diesel,13-12-2022,,5,Suv et 4x4,Oui,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/405576/volkswagen-tiguan-r-line.html
VOLKSWAGEN,Tiguan,AUTO AYMANE,Casablanca,,94 000,2017,Automatique,Diesel,13-12-2022,8,,Suv et 4x4,Oui,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/400388/volkswagen-tiguan-caratline.html
BMW,X3,Nom masqué,Casablanca,380 000 Dhs,69 000,2019,Automatique,Diesel,12/12/2022,8,5,,Oui,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/408476/bmw-x3-.html
BMW,X5,CARMA AUTO,Casablanca,,4 000,2022,Automatique,Diesel,13-12-2022,12,5,,Oui,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/404816/bmw-x5-.html
LAND-ROVER,Range rover evoque,PLATINIUM AUTO,Casablanca,,,2016,Automatique,Diesel,13-12-2022,9,5,Suv et 4x4,,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/404748/land-rover-range-rover-evoque-.html
VOLVO,S80,SALAHE DDINE,Meknes,77 000 Dhs,,2011,Automatique,Essence,12/12/2022,11,5,Berline,,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/399292/volvo-s80-.html
FORD,Fiesta,ARVAL,Casablanca,,94 000,2020,Manuelle,Diesel,13-12-2022,6,5,,Oui,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/407327/ford-fiesta-.html
BMW,Serie 6,AUTO 212,Casablanca,,299 000,2013,Automatique,Diesel,13-12-2022,12,5,,,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/399597/bmw-serie-6-.html
PEUGEOT,3008,ARVAL,Casablanca,,59 000,2019,Automatique,Diesel,13-12-2022,8,5,,Oui,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/407318/peugeot-3008-.html
DACIA,Duster,AUTO GHALI,Casablanca,,85 000,2019,Automatique,Diesel,13-12-2022,8,5,Suv et 4x4,Oui,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/407171/dacia-duster-.html
BMW,Serie 7,FAJRINE AUTO,Casablanca,,70 000,2018,Automatique,Diesel,13-12-2022,12,4,Berline,Oui,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/406383/bmw-serie-7-740ld-pack-m.html
VOLKSWAGEN,Touareg,AUTO GHALI,Casablanca,,111 000,2020,Automatique,Diesel,13-12-2022,,5,Suv et 4x4,Oui,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/407060/volkswagen-touareg-r.html
JEEP,Compass,STELLANTIS &YOU CASABLANCA,Casablanca,275 000 Dhs,39 411,2021,Manuelle,Diesel,13-12-2022,6,5,Suv et 4x4,,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/406971/jeep-compass-ed.html
BMW,Serie 7,PLATINIUM AUTO,Casablanca,,,2016,Automatique,Diesel,13-12-2022,12,5,Berline,Oui,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/387071/bmw-serie-7-740-ld-pack-m.html
BMW,Serie 1,ETOILE CAR,Casablanca,405 000 Dhs,19 000,2021,Automatique,Diesel,13-12-2022,8,5,Compact,Oui,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/408429/bmw-serie-1-118d-pack-m.html
MERCEDES,Cla,AUTO GHALI,Casablanca,,,2022,Automatique,Diesel,13-12-2022,9,5,Berline,,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/395271/mercedes-cla-amg.html
AUDI,Q5,TINK AUTO,Agadir,265 000 Dhs,189 000,2016,Automatique,Diesel,13-12-2022,8,5,,Oui,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/408892/audi-q5-.html
VOLKSWAGEN,Jetta,AUTO AYMANE,Casablanca,,83 000,2018,Automatique,Diesel,13-12-2022,8,,Berline,Oui,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/398153/volkswagen-jetta-.html
SEAT,Leon,AUTO GHALI,Casablanca,,20 000,2022,Automatique,Diesel,13-12-2022,8,5,,Oui,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/407330/seat-leon-cupra.html
VOLKSWAGEN,Caddy,AUTO GHALI,Casablanca,,15 000,2022,Automatique,Diesel,13-12-2022,,5,Suv et 4x4,Oui,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/400599/volkswagen-caddy-.html
PORSCHE,Macan,AUTO REDA,Casablanca,,24 000,2021,Automatique,Essence,13-12-2022,11,5,,Oui,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/408031/porsche-macan-.html
DACIA,Duster,Nom masqué,Casablanca,,100 000,2019,Automatique,Diesel,13-12-2022,,,,,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/402357/dacia-duster-.html
VOLKSWAGEN,Tiguan,AUTO GHALI,Casablanca,,,2022,Automatique,Diesel,13-12-2022,,5,Suv et 4x4,,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/395768/volkswagen-tiguan-r-line.html
MERCEDES,Gle,ETOILE CAR,Casablanca,630 000 Dhs,139 000,2016,Automatique,Essence,13-12-2022,31,5,Suv et 4x4,Oui,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/408432/mercedes-gle-63s-amg-v8-biturbo.html
FORD,Tourneo custom,AUTO GHALI,Casablanca,,200 000,2016,Manuelle,Diesel,13-12-2022,,5,Utilitaire (van),Oui,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/404220/ford-tourneo-custom-.html
VOLKSWAGEN,Tiguan,AUTO GHALI,Casablanca,,1 700,2021,Automatique,Diesel,13-12-2022,8,5,Suv et 4x4,Oui,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/404344/volkswagen-tiguan-r-line.html
BMW,Serie 7,FAJRINE AUTO,Casablanca,,20 000,2021,Automatique,Diesel,13-12-2022,12,4,Berline,Oui,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/406380/bmw-serie-7-serie-730ld.html
LAND-ROVER,Range rover velar,ETOILE CAR,Casablanca,600 000 Dhs,39 000,2021,Automatique,Diesel,13-12-2022,8,5,Suv et 4x4,Oui,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/408446/land-rover-range-rover-velar-.html
LAND-ROVER,Range rover sport,AUTO REDA,Casablanca,200 000 Dhs,159 000,2013,Automatique,Diesel,13-12-2022,12,5,,Oui,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/397480/land-rover-range-rover-sport-.html
LAND-ROVER,Range rover vogue,PLATINIUM AUTO,Casablanca,,140 000,2014,Automatique,Diesel,13-12-2022,12,5,Suv et 4x4,Oui,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/387066/land-rover-range-rover-vogue-autobiography.html
AUDI,A4,ARVAL,Casablanca,,79 000,2019,Automatique,Diesel,13-12-2022,8,5,,Oui,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/407969/audi-a4-.html
DACIA,Dokker,ARVAL,Casablanca,,89 000,2020,Automatique,Diesel,13-12-2022,8,5,,Oui,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/407968/dacia-dokker-.html
AUDI,Rs-q3,AUTO GHALI,Casablanca,,25 000,2021,Automatique,Essence,13-12-2022,,5,Suv et 4x4,Oui,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/400261/audi-rs-q3-s-line.html
SKODA,Octavia,TINK AUTO,Agadir,173 000 Dhs,249 000,2017,Automatique,Diesel,13-12-2022,8,5,,,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/408891/skoda-octavia-.html
AUDI,Rs3,AUTO GHALI,Casablanca,,,2022,Automatique,Essence,13-12-2022,,5,Berline,,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/400260/audi-rs3-s-line.html
FIAT,Tipo,STELLANTIS &YOU CASABLANCA,Casablanca,154 470 Dhs,,2022,Manuelle,Diesel,13-12-2022,5,5,Berline,,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/404814/fiat-tipo-13l-street.html
VOLKSWAGEN,Tiguan,AUTO GHALI,Casablanca,,,2022,Automatique,Diesel,13-12-2022,,5,Suv et 4x4,,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/404829/volkswagen-tiguan-r-line.html
OPEL,Mokka x,GLOBAL OCCAZ,Casablanca,182 000 Dhs,60 000,2017,Automatique,Diesel,13-12-2022,6,5,,Oui,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/401257/opel-mokka-x-business.html
BMW,Serie 4 gran coupe,CARMA AUTO,Casablanca,,4 000,2021,Automatique,Diesel,13-12-2022,8,5,,Oui,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/391401/bmw-serie-4-gran-coupe-.html
SKODA,Superb,AUTO AYMANE,Casablanca,,91 000,2019,Automatique,Diesel,13-12-2022,6,,Berline,Oui,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/408370/skoda-superb-.html
MERCEDES,Gle coupe,AUTO GHALI,Casablanca,,10 000,2022,Automatique,Diesel,13-12-2022,,5,Suv et 4x4,Oui,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/406625/mercedes-gle-coupe-350-de.html
BMW,Serie 3,ETOILE CAR,Casablanca,370 000 Dhs,84 000,2020,Automatique,Diesel,13-12-2022,8,5,Berline,Oui,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/408439/bmw-serie-3-318d.html
MINI,Cooper,BOURGOGNE AUTO,Casablanca,179 000 Dhs,54 000,2018,Automatique,Essence,12/12/2022,9,5,,Oui,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/400715/mini-cooper-.html
AUDI,E-tron,LUXURY AUTO,Casablanca,,10 300,2022,Automatique,Electrique,13-12-2022,,5,Suv et 4x4,,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/392178/audi-e-tron-55.html
FORD,Kuga,STELLANTIS &YOU CASABLANCA,Casablanca,229 000 Dhs,62 780,2019,Automatique,Diesel,13-12-2022,8,5,Suv et 4x4,,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/393424/ford-kuga-trend-plus-pack-nuit.html
AUDI,Q3,AUTO GHALI,Casablanca,,,2022,Automatique,Diesel,13-12-2022,,5,Suv et 4x4,,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/400263/audi-q3-s-line.html
RENAULT,Express,Nom masqué,Casablanca,,37 000,2022,Manuelle,Diesel,13-12-2022,,,Utilitaire (minivan),Oui,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/404904/renault-express-.html
DACIA,Sandero,ABDERAHIM,Mediouna,127 000 Dhs,56 000,2019,Manuelle,Diesel,13-12-2022,6,5,Citadine,Oui,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/406209/dacia-sandero-stepway.html
VOLKSWAGEN,Golf 8,AUTO GHALI,Casablanca,,,2022,Automatique,Essence,13-12-2022,,5,Compact,,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/400691/volkswagen-golf-8-r.html
AUDI,Rs-q3,AUTO GHALI,Casablanca,,,2022,Automatique,Essence,13-12-2022,,5,Crossover,,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/400921/audi-rs-q3-s-line.html
BMW,Serie 5,ETOILE CAR,Casablanca,790 000 Dhs,4 000,2022,Automatique,Diesel,13-12-2022,8,5,Berline,Oui,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/408425/bmw-serie-5-luxury.html
FIAT,Tipo,STELLANTIS &YOU CASABLANCA,Casablanca,130 000 Dhs,31 847,2021,Manuelle,Diesel,13-12-2022,5,4,Berline,,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/407314/fiat-tipo-13-pop-bvm.html
AUDI,Q8,CAR & SHOP,Casablanca,,,2022,Automatique,Diesel,13-12-2022,12,5,Suv et 4x4,Oui,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/384647/audi-q8-.html
AUDI,A3,AUTO GHALI,Casablanca,,20 000,2021,Automatique,Diesel,13-12-2022,,,Citadine,Oui,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/393910/audi-a3-s-line.html
BENTLEY,Bentayga,LUXURY AUTO,Casablanca,,67 000,2017,Automatique,Diesel,13-12-2022,,5,Suv et 4x4,,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/387353/bentley-bentayga-.html
BENTLEY,Continental gt,ETOILE CAR,Casablanca,1 380 000 Dhs,44 000,2016,Automatique,Essence,13-12-2022,34,3,,Oui,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/408445/bentley-continental-gt-.html
VOLKSWAGEN,Golf 7,AUTO REDA,Casablanca,240 000 Dhs,169 000,2015,Automatique,Diesel,13-12-2022,8,5,,,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/408003/volkswagen-golf-7-.html
MERCEDES,Cla,AUTO GHALI,Casablanca,,,2022,Automatique,Diesel,13-12-2022,,5,Berline,,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/393749/mercedes-cla-220-d.html
MERCEDES,Classe c,AUTO GHALI,Casablanca,,50 000,2018,Automatique,Diesel,13-12-2022,9,5,Berline,Oui,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/405447/mercedes-classe-c-220-d.html
TOYOTA,Prado,LAHBARI AUTO,Rabat,,320 000,2005,Manuelle,Diesel,13-12-2022,12,5,Suv et 4x4,Oui,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/406914/toyota-prado-vx.html
PORSCHE,Macan,ETOILE CAR,Casablanca,1 240 000 Dhs,4 000,2022,Automatique,Essence,13-12-2022,11,5,Suv et 4x4,Oui,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/408440/porsche-macan-.html
PEUGEOT,3008,Nom masqué,Casablanca,254 000 Dhs,84 000,2018,Automatique,Diesel,13-12-2022,8,5,,Oui,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/406674/peugeot-3008-.html
AUDI,A3,AUTO GHALI,Casablanca,,,2022,Automatique,Diesel,13-12-2022,,5,Compact,,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/396053/audi-a3-s-line.html
